-5 2.75023
-4.9 2.98266
-4.8 3.15026
-4.7 3.25928
-4.6 3.31566
-4.5 3.32502
-4.4 3.29269
-4.3 3.2237
-4.2 3.12281
-4.1 2.9945
-4 2.84298
-3.9 2.67217
-3.8 2.48578
-3.7 2.28723
-3.6 2.07971
-3.5 1.86617
-3.4 1.64935
-3.3 1.43174
-3.2 1.21563
-3.1 1.00309
-3 0.795994
-2.9 0.59602
-2.8 0.404655
-2.7 0.223204
-2.6 0.0527978
-2.5 -0.105604
-2.4 -0.251201
-2.3 -0.38335
-2.2 -0.501555
-2.1 -0.605463
-2 -0.694852
-1.9 -0.769633
-1.8 -0.829834
-1.7 -0.8756
-1.6 -0.907181
-1.5 -0.924931
-1.4 -0.929294
-1.3 -0.920805
-1.2 -0.900078
-1.1 -0.867798
-1 -0.82472
-0.9 -0.771657
-0.8 -0.709478
-0.7 -0.639094
-0.6 -0.561459
-0.5 -0.477558
-0.4 -0.388403
-0.3 -0.295025
-0.2 -0.198466
-0.1 -0.0997752
2.77556e-16 2.77472e-16
0.1 0.0998203
0.2 0.198661
0.3 0.29552
0.4 0.389422
0.5 0.479429
0.6 0.564642
0.7 0.644215
0.8 0.717353
0.9 0.783327
1 0.841475
1.1 0.891214
1.2 0.932039
1.3 0.963539
1.4 0.985398
1.5 0.997402
1.6 0.999448
1.7 0.991551
1.8 0.973848
1.9 0.946605
2 0.91023
2.1 0.86527
2.2 0.812424
2.3 0.752552
2.4 0.686674
2.5 0.615983
2.6 0.541851
2.7 0.465832
2.8 0.389675
2.9 0.315325
3 0.244933
3.1 0.180861
3.2 0.125692
3.3 0.0822324
3.4 0.0535217
3.5 0.0428388
3.6 0.0537084
3.7 0.089908
3.8 0.155474
3.9 0.254711
4 0.392195
4.1 0.572782
4.2 0.801615
4.3 1.08413
4.4 1.42607
4.5 1.83347
4.6 2.3127
4.7 2.87042
4.8 3.51366
4.9 4.24974
5 5.08636
5.1 6.03154
5.2 7.09366
5.3 8.28147
5.4 9.6041
5.5 11.071
5.6 12.6921
5.7 14.4776
5.8 16.4382
5.9 18.5849
6 20.9293
6.1 23.4831
6.2 26.2588
6.3 29.2689
6.4 32.5268
6.5 36.046
6.6 39.8406
6.7 43.9251
6.8 48.3145
6.9 53.0242
